DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
6VC6NNDN58STI808NNR6RHT8VNPGL0IKGPFR0AAJ1QMLMDM419R0,ORIQV459BOBH0AEMFV2DSLUP314IOD55MI3GK8J28CH8G1VT637G,1,3.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
6VC6NNDN58STI808NNR6RHT8VNPGL0IKGPFR0AAJ1QMLMDM419R0,ORIQV459BOBH0AEMFV2DSLUP314IOD55MI3GK8J28CH8G1VT637G,1,0.41,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
LU5866JG3K3F45CD1IEI6VG8D8BDAP84VQ05K1A71JGAS29QO7R0,JSJPG2I29AT2OTQ6P4KV0OIQT0N1HUR0336Q2RNGIC135HGVH120,1,3.79,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
LU5866JG3K3F45CD1IEI6VG8D8BDAP84VQ05K1A71JGAS29QO7R0,JSJPG2I29AT2OTQ6P4KV0OIQT0N1HUR0336Q2RNGIC135HGVH120,1,0.39,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
142QLJ7LDC9KB5EKL7HO8KN6T8NJHMVIL0VJHI3N6M715CF7NB00,CEITHJ4EJTE82346DVFVPV2M23C4LFJA38KNRHIMVU210SN5DOK0,1,3.59,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
142QLJ7LDC9KB5EKL7HO8KN6T8NJHMVIL0VJHI3N6M715CF7NB00,CEITHJ4EJTE82346DVFVPV2M23C4LFJA38KNRHIMVU210SN5DOK0,1,0.37,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
UNOLD5P8947S15V7TVBISP63VSC7D9KSV7L9BGS40PEDT6MMTJ8G,AGM5CSVT10KM3RCU1H2FBOG2Q41BSRQO214U31HE26E5N5D0E5MG,1,59.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
UNOLD5P8947S15V7TVBISP63VSC7D9KSV7L9BGS40PEDT6MMTJ8G,AGM5CSVT10KM3RCU1H2FBOG2Q41BSRQO214U31HE26E5N5D0E5MG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
RHF63LEQBC894KAMCNQKG1F75VLM944LIJVDP8NTLPL8VD34ECHG,E0O4TCVBKMSKVJDK4IC264844E5OE1933G510C7G033RL3C5PJQ0,1,2.05,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
RHF63LEQBC894KAMCNQKG1F75VLM944LIJVDP8NTLPL8VD34ECHG,E0O4TCVBKMSKVJDK4IC264844E5OE1933G510C7G033RL3C5PJQ0,1,19.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
HIHA1MQRN8UCD7G3N0HLKT9HIEIICFSVOBGUJQJ75CSOIF3CMLEG,MJKDR0G71SVAV0L8724AEDITAOK5FPJ64868L7QQ2JTB4JDVUDG0,1,9.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
HIHA1MQRN8UCD7G3N0HLKT9HIEIICFSVOBGUJQJ75CSOIF3CMLEG,MJKDR0G71SVAV0L8724AEDITAOK5FPJ64868L7QQ2JTB4JDVUDG0,1,1.02,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
QQKOSVKLHI1J6A0HNJ4C6VLKT9LDO6SLBQSLHFMRRHAL5LFJJJ10,84FAOTJN08E8CSCEF1KF02C7G0QD46MO8ITV89FL5U587FBG8JSG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
